start,end,peak
142038.8948,142038.8948,-1.3189342623760223
142163.182,142163.182,-1.8962524190103283
142284.9023,142284.9023,-1.5182764426488582
153658.9778,153702.1845,-0.4012565657486067
153726.0915,153726.0915,-0.39839661855505115
153828.828,153828.828,-0.821638791387286
153864.6156,153864.6156,-0.9710685735900049
154014.4388,154014.4388,-1.8324732174393423
154041.7425,154041.7425,0.6357321080563618
154381.3483,154381.3483,-0.8675459007752109
163863.5523,163863.5523,1.4279565923485964
163928.9464,163928.9464,-1.6447682864852444
164362.3055,164362.3055,-1.547551460305355
164575.2338,164575.2338,-1.546797168094337
164914.1873,164926.2626,-1.0825572596714546
164996.5141,164996.5141,-1.7767644758870194
165129.2255,165129.2255,-1.639754673310029
165168.5071,165179.3793,-1.3858067627721904
165252.9248,165252.9248,-1.9104166453820035
165411.6066,165411.6066,-1.6196888244682983
165463.8187,165463.8187,-1.773810800201731
165890.4468,165890.4468,-1.6893365859890621
166319.7472,166319.7472,-0.3685881704492784
166515.7832,166529.6689,-0.9875889194720314
166574.9789,166603.1038,-0.2957451738669813
166630.3146,166649.1969,-1.6065664042122085
166738.7139,166738.7139,-0.43660515391036525
167318.9066,167318.9066,-1.1464416493140994
167349.0106,167349.0106,-1.7093112907830907
167682.3408,167682.3408,-1.6697915002022967
167791.1302,167832.0442,-0.01461667148389667
168494.419,168508.5541,-1.3969881514974114
168544.8818,168562.6829,-0.35985313913289874
168772.2146,168867.7522,0.6519323851719531
168886.4303,168886.4303,-0.539206530972415
168963.6576,168963.6576,-0.5161893983777897
169133.888,169202.4281,-1.462903266731365
169229.1445,169329.1981,-0.4876924536752111
169637.9406,169637.9406,-0.7702776255832571
170169.0417,170169.0417,-1.4549659367941787
170240.4569,170240.4569,-1.7474592263749575
170993.6841,170993.6841,-1.913833563711349
171377.3338,171387.3146,-1.4028873411532807
171841.3172,171961.5163,1.1786683144569103
171985.4992,171985.4992,-1.6719437290278207
172083.105,172083.105,-1.846413041452521
172837.3646,172837.3646,-1.0418605021852567
173075.3592,173229.3288,-1.3467654031504903
173413.8634,173413.8634,-1.1088045244722555
173902.9309,173902.9309,-1.917426470437003
174590.7594,174590.7594,-0.8260810675947363
174726.4997,174726.4997,-1.0233708618998114
174881.5893,174881.5893,-1.0384346505553825
175515.2177,175515.2177,-1.9176862409715034
175635.9734,175658.6591,-1.0314260096587278
175941.9647,175941.9647,-1.4749711797785494
177365.8728,177365.8728,-1.565595201624223
178170.783,178183.6493,-1.3631383932381385
178796.3294,178808.4412,-1.7659754810306212
179556.2162,179556.2162,-1.2439249817792482
179578.5478,179578.5478,-1.3624484318808099
179835.0423,180001.4401,1.381768960118209
180191.4944,180191.4944,-1.6566165650033
180480.7365,180490.6444,-1.1986481348217546
180824.2615,180824.2615,-1.2120267610378885
181675.2389,181696.3001,-1.5827329866619109
181850.3003,181850.3003,-1.824203190659396
182060.4511,182060.4511,-1.019691986531742
183465.2415,183465.2415,-0.8298657743094309
184635.8895,184635.8895,-0.9818017981657612
184688.3482,184688.3482,-1.7173023370957554
186215.885,186215.885,-1.4812410735793227
186611.1641,186611.1641,-1.2151396541539046
186967.8731,186967.8731,-1.1744408121272718
187251.4154,187251.4154,-0.48916260160491465
187383.3343,187383.3343,-0.9474935808512218
187509.1389,187529.4528,-1.6840958384093354
187831.0376,187831.0376,-0.7050427457223714
187883.3529,187883.3529,-0.7690627956896292
187907.2716,187907.2716,-0.7461522651221864
188230.6453,188230.6453,-0.11756819769635629
188372.7784,188372.7784,-1.5915735799114872
189031.8497,189050.4525,-1.5908708108728242
189164.5847,189164.5847,-0.6952528496350097
189473.6662,189491.0819,-1.3524613969551296
190171.6531,190171.6531,-1.766893631888283
191273.3034,191293.9333,-1.8658210615786817
191891.7399,191891.7399,1.422058631855564
191946.7206,191946.7206,-1.3744812603393588
192461.4858,192461.4858,-1.7950809596534847
192748.4293,192748.4293,-1.8037768353549537
192803.36,192803.36,-1.701237995573631
193460.8524,193460.8524,-0.9539090247283194
193974.5492,194017.6839,-0.9381840306274962
194434.8061,194626.545,1.8969609934807072
194647.5704,194670.2802,-1.3455100409202254
194696.7972,194696.7972,-1.7386126076132409
194722.5525,194722.5525,-1.3431003331268436
194767.8211,194767.8211,-1.7092988773765982
